PMID	TF	ENSG	CellLine	Assay	Complex	Notes	Target	Cofactor
22479354	STAT1	ENSG00000115419	HEK 293T	Luciferase;RT-PCR;ChIP;WB			GLS	0
22479354	STAT1	ENSG00000036828		Literature			CASR	0
22479354	STAT1	ENSG00000145113		Literature			MUC4	0
23598529	REST	ENSG00000115415	SK-MEL-28, MM96	Luciferase;RT-PCR;ChIP;WB		并非citation，做了复合体的实验验证	STAT1	0
23598529	STAT1	ENSG00000115415	SK-Mel-28	Luciferase;EMSA	ISGF3		STAT1	0
23598529	STAT2	ENSG00000115415	SK-Mel-28	Luciferase;EMSA	ISGF3		STAT1	0
23598529	IRF9	ENSG00000115415	SK-Mel-28	Luciferase;EMSA;Literature	ISGF3		STAT1	0
23598529	IRF1	ENSG00000115415		Literature	IRF1-CBP		STAT1	0
23598529	CREBBP	ENSG00000115415		Literature	IRF1-CBP		STAT1	1
23598529	STAT1	ENSG00000125347		Literature			IRF-1	0
18776923	BRCA1	ENSG00000044574	CaOV-3, SKOV-3, MDA-MB-231, MCF-7, T47D	Luciferase;OE;RT-PCR;WB;siRNA			HSPA5	0
18776923	BRCA1	ENSG00000166598	CaOV-3, SKOV-3, MDA-MB-231	WB;siRNA			HSP90B1	0
18776923	BRCA1	ENSG00000175197	CaOV-3, SKOV-3, MDA-MB-231	WB;siRNA			DDIT3	0
15195143	E2F4	ENSG00000065328	HCT116	ChIP;Luciferase;RT-PCR			MCM10	0
15195143	E2F4	ENSG00000163781	HCT116	ChIP;Luciferase;RT-PCR			TOPBP1	0
15195143	E2F1	ENSG00000065328	HCT116	ChIP;Luciferase;Mutation;RT-PCR;WB			MCM10	0
15195143	E2F2	ENSG00000065328	HCT116	Luciferase;Mutation			MCM10	0
15195143	E2F3	ENSG00000065328	HCT116	Luciferase;Mutation			MCM10	0
15195143	E2F1	ENSG00000163781	HCT116	ChIP;Luciferase;Mutation;RT-PCR;WB			TOPBP1	0
15195143	E2F2	ENSG00000163781	HCT116	Luciferase;Mutation			TOPBP1	0
15195143	E2F3	ENSG00000163781	HCT116	Luciferase;Mutation			TOPBP1	0
11706010	CTCF	ENSG00000142192	HeLa, COS-1	EMSA;In_vitro_transcription;In_vivo_competition;Pull-down			APP	0
17204573	STAT3	ENSG00000170345	primary cells from vastus lateralis	Literature;RT-PCR			FOS	0
17204573	STAT3	ENSG00000171223	primary cells from vastus lateralis	Literature;RT-PCR			JUNB	0
17204573	STAT3	ENSG00000136997	primary cells from vastus lateralis	Literature;RT-PCR			MYC	0
17204573	STAT3	ENSG00000110092	-	Literature			CCND1	0
17204573	STAT3	ENSG00000171791	-	Literature			BCL2	0
17204573	STAT3	ENSG00000171552	-	Literature			BCL2L1	0
17204573	STAT3	ENSG00000112715	-primary cells from vastus lateralis	Literature;RT-PCR			VEGFA	0
19043455	CEBPB	ENSG00000171552	MCF10A	ChIP;EMSA;Luciferase;Mutation;OE;RT-PCR;WB			BCL2L1	0
17932312	EGR1	ENSG00000121858	HUVEC	Literature			TNFSF10	0
14642566	NFIC	ENSG00000123415	Hela, 18Co	EMSA;Footprinting;Luciferase;Mutation;NB			SMUG1	0
19303924	E2F1	ENSG00000077782	HEK293T，Lovo	Luciferase;RT-PCR;ChIP;EMSA;WB;OE;Mutation		观察表明，人类FGFR1基因的转录由E2F-1和Sp1协同激活。还需进一步研究以阐明Sp1在E2F-1诱导FGFR1启动子转活化中的参与。当时有一些间接证据，未做记录	FGFR1	0
19303924	E2F2	ENSG00000077782	HEK293T	Luciferase			FGFR 1	0
19303924	E2F3	ENSG00000077782	HEK293T	Luciferase			FGFR 1	0
19303924	RB1	ENSG00000077782	HT1080	WB;OE			FGFR 1	1
19303924	E2F2	ENSG00000094804		Literature	E2F-2-YY1		CDC6	0
19303924	YY1	ENSG00000094804		Literature	E2F-2-YY1		cdc6	1
19303924	E2F1	ENSG00000101868		Literature	E2F1-CUX1		POLA1	0
19303924	CUX1	ENSG00000101868		Literature	E2F1-CUX1		POLA1	1
19303924	E2F1	ENSG00000228716			E2F1-Sp1		DHFR	0
19303924	SP1	ENSG00000228716		Literature	E2F1-Sp1		DHFR	0
23000143	YY1	ENSG00000172534	HEK293T, NSC	Luciferase;RT-PCR;Microarray;ChIP;EMSA		S phase genes有点太宽泛了	HCFC1	0
23000143	PHF8	ENSG00000172534		Literature	PHF8-ZNF711		HCFC1	0
23000143	ZNF711	ENSG00000172534		Literature	PHF8-ZNF711		HCFC1	0
23000143	YY1	ENSG00000151729		Literature			ANT1	0
23000143	HCFC1	ENSG00000151729		Literature			ANT1	0
16488890	USF1	ENSG00000122884	HeLa, VSMC	ChIP;Luciferase;RT-PCR			P4HA1	0
16488890	USF2	ENSG00000122884	HeLa, VSMC	ChIP;Luciferase;RT-PCR;siRNA			P4HA1	0
21700680	BRCA1	ENSG00000168496		Literature;Microarray			FEN1	0
21700680	BRCA1	ENSG00000175197		Literature;Microarray			DDIT3	0
21700680	BRCA1	ENSG00000197299		Literature;Microarray			BLM	0
21700680	BRCA1	ENSG00000132475		Literature;Microarray			H3F3B	0
21700680	BRCA1	ENSG00000139618		Literature;Microarray			BRCA2	0
21700680	BRCA1	ENSG00000157456		Literature;Microarray			CCNB2	0
21700680	BRCA1	ENSG00000134574		Literature;Microarray			DDB2	0
21700680	BRCA1	ENSG00000164109		Literature;Microarray			MAD2L1	0
22258560	USF1	ENSG00000073861	Jurkat, THP-1	Luciferase;ChIP;EMSA;OE			TBX21	0
22258560	USF1	ENSG00000105329		Literature			TGFB1	0
22419072	HDAC1	ENSG00000158473	A549	RT-PCR;WB;siRNA		所有的HDAC抑制剂服务于Sp1的测定，从这个视角或许可以认为Assay有通用性	CD1D	0
22419072	HDAC2	ENSG00000158473	A549	RT-PCR;WB;siRNA			CD1D	0
22419072	SP1	ENSG00000158473	A549	Luciferase;RT-PCR;ChIP;DAPA;WB			CD1D	0
22419072	LEF1	ENSG00000158473		Literature			CD1D	0
16595680	KLF5	ENSG00000089685	EU cellline from BCP-ALL patients; Reh	ChIP;Co-IP;EMSA;NB;WB;siRNA			BIRC5	0
16595680	SP1	ENSG00000089685	Hela	Literature			BIRC5	0
16595680	TP53	ENSG00000089685	-	Literature			BIRC5	0
16595680	TCF7L2	ENSG00000089685	-	Literature			BIRC5	0
16595680	KLF4	ENSG00000124762	-	Literature	KLF4-p53		CDKN1A	0
16595680	KLF6	ENSG00000140443	-	Literature	KLF6-p53		IGF1R	0
16595680	TP53	ENSG00000124762	-	Literature	KLF4-p53		CDKN1A	0
16595680	TP53	ENSG00000140443	-	Literature	KLF6-p53		IGF1R	0
15688019	RUNX3	ENSG00000159216	DG75, Akata31, IB4, LCL-C	EMSA;Luciferase;RPA;WB			RUNX1	0
15688019	RUNX2	ENSG00000124813		Literature			RUNX2	0
19290488	RUNX3	ENSG00000164305	AGS, SNU1, primary cells from the representative cancerous lesions and from adjacent noncancerous tissues	WB;IHC;OE			CASP3	0
19290488	RUNX3	ENSG00000124762	-	Literature			CDKN1A	0
19290488	RUNX3	ENSG00000110092	-	Literature			CCND1	0
15178343	ARNT	ENSG00000269858	primary human smooth muscle cells, HCT116	RT-PCR;ChIP		感觉没有MCF-7，至少这个的细胞系没用	EGLN2	0
15908194	CBF	ENSG00000125398	C3H10T1/2, NIH3T3, HTB94	ChIP;EMSA;Luciferase			SOX9	0
15908194	SOX9	ENSG00000139219		Literature			COL2A1	0
15908194	SOX5	ENSG00000139219		Literature			COL2A1	0
15908194	SOX6	ENSG00000139219	-	Literature			COL2A1	0
15908194	SOX9	ENSG00000204248	-	Literature			COL11A2	0
15908194	SOX9	ENSG00000157766	-	Literature			ACAN	0
15908194	SOX9	ENSG00000112280	-	Literature			COL9A1	0
15908194	NFKB1	ENSG00000125398	-	Literature			SOX9	0
15908194	CBF	ENSG00000131747	-	Literature			TOP2A	0
15908194	CBF	ENSG00000167900	-	Literature			TK1	0
15908194	CBF	ENSG00000101412	-	Literature			E2F1	0
15908194	CBF	ENSG00000158402		Literature			CDC25C	0
22227292	SP1	ENSG00000122008		Literature			POLK	0
22227292	CREB1	ENSG00000122008		Literature			POLK	0
18625744	CTCF	ENSG00000110092	Granta, NCEB, MCF-7, HBL-2	ChIP;IF;RT-PCR;WB			CCND1	0
18625744	POU2F2	ENSG00000110092	Granta, NCEB, MCF-7	ChIP;WB			CCND1	0
18625744	SP1	ENSG00000110092	Granta, NCEB, MCF-7	ChIP;WB			CCND1	0
20160719	BRCA1	ENSG00000096717	HeLa	Luciferase;ChIP;Literature		BRCA1和DBC1貌似都更像是cofactor，这篇主要是说DBC1对BRCA1的pr-pr结合	SIRT1	1
20160719	BRCA1	ENSG00000124762		Literature			CDKN1A	1
20160719	BRCA1	ENSG00000116717		Literature			GADD45	1
20160719	BRCA1	ENSG00000141510		Literature			TP53	1
11854297	SMAD	ENSG00000171223		Literature		我甚至完全没找到JUNB作用于SMAD4在哪里..同时这个是根据For example, the synthesis of JunB is stimulated by TGF-β and BMP-2 via Smad binding element (CAGACA) in the JunB promoter (65)得到的	JUNB	0
11854297	RUNX2	ENSG00000242252		Literature			BGLAP	0
22010578	ARID3A	ENSG00000140464	293FT			ARID3A 不直接结合 p16 或 p53 的启动子，p16/p53 的表达变化是 PML-NBs介导衰老后的间接后果。这篇确实与启动子无关，转录后水平调控，降解PML蛋白	PML	0
22010578	ETS1	ENSG00000147889		Literature			CDKN2A	0
15184388	USF2	ENSG00000137801	RMCs（tr/cd），MLECs-clone 32	ChIP;EMSA;Luciferase;Mutation;WB			THBS1	0
15184388	USF1	ENSG00000137801	RMCs（tr/cd），MLECs-clone 32	ChIP;EMSA;Luciferase;Mutation;WB			THBS1	0
11013233	MAFK	ENSG00000181019	Hep-G2	EMSA;Luciferase	MAFK-MAFK, Nrf2-MAFK	讨论中说NRF1几乎没有结合，对基因表达无影响，我认为这篇文章有再被分析的必要。。	NQO1	0
11013233	MAFG	ENSG00000181019	Hep-G2	EMSA;Luciferase	MAFG-MAFG, Nrf2-MAFK		NQO1	0
11013233	MAFK	ENSG00000243955	Hep-G2	EMSA;Luciferase	MAFK-MAFK, Nrf2-MAFK		GSTA1	0
11013233	MAFG	ENSG00000243955	Hep-G2	EMSA;Luciferase	MAFG-MAFG, Nrf2-MAFK		GSTA1	0
11013233	NFE2L2	ENSG00000181019	-	Luciferase;EMSA			NQO1	0
11013233	NFE2L2	ENSG00000243955	-	Luciferase			GSTA1	0
11013233	NFE2L1	ENSG00000100292	-	Literature			HMOX1	0
11013233	NFE2L2	ENSG00000100292	-	Literature			HMOX1	0
11013233	NFE2L1	ENSG00000001084	-	Literature			GCLC	0
11013233	NFE2L2	ENSG00000001084	-	Literature			GCLC	0
11013233	MAFK	ENSG00000001084	-	Literature	MAFK-MAFK		GCLC	0
11013233	MAFG	ENSG00000001084	-	Literature	MAFG-MAFG		GCLC	0
11013233	MAFK	ENSG00000244734	-	Literature	MAFK-p45		HBB	0
11013233	MAFG	ENSG00000244734	-	Literature	MAFG-p45		HBB	0
11013233	MAFK	ENSG00000244734	-	Literature	MAFK-MAFK		HBB	0
11013233	MAFG	ENSG00000244734	-	Literature	MAFG-MAFG		HBB	0
9611253	ARNT	ENSG00000117984	MCF7	EMSA;Co-IP	AhR-ARNT	这里的ER是指ESR1还是ESR2？不太清楚。文献用的是CAT，没有这个Assay。比较迷惑的一篇我说实话，并且我不太确定细胞系MDA-MB-231的作用，貌似主要是对照ER的存在	CTSD	0
9611253	SP1	ENSG00000117984	MCF-7	EMSA;Literature	ESR/SP1		CTSD	0
9611253	ESR1	ENSG00000117984	MCF-7	EMSA;Literature	ESR/SP1		CTSD	0
9611253	ESR2	ENSG00000117984	MCF-7	EMSA;RNAi_KD;Literature	ESR/SP1		CTSD	0
9611253	AHR	ENSG00000117984	MCF-7	Co-IP;RNAi_KD	AhR-ARNT		CTSD	0
